#,Campaign,Distinct Lever,Industry,Location,ICP / Persona,Trigger (why now),List Logic,Pain Logic (surface / business / personal),Offer Logic (dream / mechanism / guarantee / packaging),Personalization Logic,Copy Angle,Variables,PROOF
21,CRM database reactivation,OFFER,Horizontal B2B (aging CRMs),US / UK,VP Sales / RevOps,10k+ dormant CRM contacts; team only chasing net-new,"B2B, 50-500 HC, HubSpot/Salesforce, large stale DB; owned data no sourcing","Surface: thousands of paid leads sitting dead. Business: CAC already spent, zero return on backlog. Personal: VP must find pipeline without more budget","Dream: pipeline from leads you own. Mechanism: DFY reactivation sequences. Guarantee: meetings-from-existing-data or free. Packaging: flat + per-meeting",1:few by last-touch reason / lifecycle stage,"Subj your old leads | You've paid to acquire thousands of contacts now dead in {{tool_in_use}}-that backlog is the cheapest pipeline you'll get",{{first_name}} {{company}} {{tool_in_use}} {{proof_metric}},50
22,Closed-lost win-back,OFFER,B2B SaaS & services,US / UK,VP Sales / CRO,Deals lost 6-18mo ago now cycling back,"Companies w/ closed-lost record, ICP-fit, original blocker likely expired; owned + light enrichment","Surface: lost deals written off forever. Business: re-engaging warm losses far cheaper than cold. Personal: VP wants quick wins from known buyers","Dream: reopened pipeline from past losses. Mechanism: timed win-back tied to objection expiring. Guarantee: performance floor. Packaging: per-meeting",1:few by lost-reason cohort (price/timing/competitor),"Subj circling back properly | When we last spoke the blocker was {{trigger_detail}}-that's usually expired now, exactly when a second look makes sense",{{first_name}} {{company}} {{trigger_detail}} {{similar_company}},50
23,PLG trial/signup reactivation,OFFER,Product-led SaaS,US,Head of Growth / Self-serve owner,High volume of abandoned trials/signups,"PLG SaaS, freemium/trial, 30-300 HC, large unconverted base; owned product data","Surface: signups go cold, never touched by a human. Business: leaky funnel, sales ignores self-serve. Personal: Growth lead owns conversion rate","Dream: convert dormant trials into conversations. Mechanism: human outbound on product signals. Guarantee: pilot on a cohort. Packaging: retainer",1:few by product-activation signal,"Subj you tried {{company_product}} | Thousands tried {{company}} and churned-human follow-up on the ones who activated is the fastest lever you're not using",{{first_name}} {{company}} {{tech_signal}} {{proof_metric}},45
24,Pre-event meeting booking,OFFER,Any B2B at major conferences,US / EU,VP Sales / Field Marketing,Exhibiting/attending a named conference <8 weeks,"Confirmed exhibitors/sponsors/attendees of {{recent_event}}; event lists + enrichment","Surface: big booth spend, empty pre-show calendar. Business: event ROI = meetings not booth traffic. Personal: event owner judged on show pipeline","Dream: full calendar of qualified meetings before doors open. Mechanism: outbound to fellow attendees. Guarantee: # meetings booked on-site. Packaging: per-event + per-meeting",1:few by recent_event + attendee role,"Subj at {{recent_event}}? | You're spending real money to be there-booths fill themselves, calendars don't. Want yours full before you land?",{{first_name}} {{company}} {{recent_event}} {{proof_metric}},40
25,Post-conference attendee follow-up,OFFER,Any B2B that attended an event,US / EU,VP Sales / Marketing,Attended {{recent_event}} in last 2-4 weeks,"Attendee/exhibitor list of just-finished event, ICP-fit; event lists + enrichment","Surface: hundreds of badge scans, no structured follow-up. Business: event leads decay fast. Personal: marketing must show event-sourced pipeline","Dream: turn attendee list into booked meetings while warm. Mechanism: fast post-event outbound w/ shared-context openers. Guarantee: performance floor. Packaging: per-event",1:few by shared event + session/topic,"Subj since {{recent_event}} | We were both at {{recent_event}}-most of those conversations die in the badge-scan pile. Worth picking ours back up?",{{first_name}} {{company}} {{recent_event}} {{similar_company}},38
26,Channel / partner recruitment,OFFER,SaaS & B2B w/ partner motion,US / EU,Head of Partnerships / Channel,Launching or scaling a partner program,"Agencies/MSPs/consultancies/resellers serving the vendor's ICP; sourced + enriched","Surface: partner program exists, partner pipeline doesn't. Business: channel revenue stalls without recruitment. Personal: partnerships lead owns signed-partner count","Dream: qualified prospective partners in pipeline. Mechanism: outbound to ideal-partner firms. Guarantee: pilot. Packaging: retainer",1:few by partner type / niche served,"Subj partner pipeline | Standing up a partner program is easy-filling it with {{niche}} firms who'd actually resell is what most never systematize",{{first_name}} {{company}} {{niche}} {{similar_company}},32
27,Investor / LP outreach,OFFER,Founders raising / fund managers,US / UK / GCC,Founder (raising) or GP/Partner (fund),Actively raising a round / new fund vintage,"Stage-matched VCs/angels or family offices/LPs, thesis-aligned; sourced + enriched","Surface: raising is a manual relationship-gated grind. Business: slow raise distracts from building. Personal: founder/GP personally carries the raise","Dream: warm intro meetings with thesis-fit capital. Mechanism: targeted highly-personalized outreach. Guarantee: pilot w/ meeting target. Packaging: project + success fee (mind regs)",1:1 thesis/stage match,"Subj {{niche}} thesis fit | You back {{niche}} at {{funding_stage}}-we're raising exactly into that thesis and would value 15 minutes",{{first_name}} {{company}} {{niche}} {{funding_stage}},32
28,Deanonymized website-visitor outbound,OFFER,B2B with meaningful site traffic,US,Head of Demand Gen / Sales,Anonymous high-intent visitors on pricing/product pages,"Companies running (or we add) a visitor-ID tool, B2B, real traffic; intent data warm","Surface: 97% of visitors leave unknown. Business: paying for traffic, capturing a fraction. Personal: demand-gen owns MQL-to-pipeline","Dream: turn anonymous intent into booked meetings. Mechanism: identify visitors + same-day outbound. Guarantee: pilot on a traffic slice. Packaging: retainer + tooling",1:few by pages-visited intent,"Subj saw {{company}} looking | Most companies hitting your pricing page leave anonymous-identifying and reaching them same-day is the warmest pipeline you'll run",{{first_name}} {{company}} {{trigger_detail}} {{proof_metric}},42
29,RevOps tool-consolidation,PERSONA,B2B SaaS (mid-market),US,Head of RevOps / Sales Operations,Recently added 2+ GTM tools / hired first RevOps lead,"SaaS, 100-500 HC, bloated GTM stack, RevOps title exists; technographic-led","Surface: fragmented overlapping tools. Business: wasted spend, dirty data, broken handoffs. Personal: RevOps judged on efficiency & forecast accuracy","Dream: leaner stack + cleaner pipeline data. Mechanism: outbound positioning consolidation/efficiency. Guarantee: pilot. Packaging: retainer",1:few by detected stack (tool_in_use),"Subj your GTM stack | Most RevOps leaders inherit 3 tools doing one job-the spend and data mess land on your desk",{{first_name}} {{company}} {{tool_in_use}} {{proof_metric}},40
30,CFO cost-efficiency,PERSONA,Mid-market B2B (broad),US,CFO / VP Finance,Cost-scrutiny signals (layoffs / efficiency talk / flat hiring),"Mid-market, 100-1000 HC, margin pressure signals; sourced + signal","Surface: pressure to cut cost without cutting growth. Business: every line item under review. Personal: CFO owns efficiency narrative to board","Dream: growth channel cheaper than headcount. Mechanism: outsourced outbound vs building SDR team. Guarantee: performance/pilot. Packaging: performance",1:few by efficiency trigger,"Subj pipeline without headcount | In-house SDRs cost ~$X loaded before they produce-outsourced outbound hits targets at a fraction, the math CFOs care about now",{{first_name}} {{company}} {{proof_metric}},33
