#,Niche / Campaign,Cluster,Industry,Location,ICP (we sell to),Books them meetings with,Trigger,List Logic,Pain Logic (surface / business / personal),Offer Logic (dream / mechanism / guarantee / packaging),Personalization Logic,Copy Angle,Saturation,TAM / Volume
1,Commercial HVAC & mechanical contractors,A-Trades,HVAC / mechanical,US metros + secondary,Owner / Service Manager,Property & facility managers / building owners,Hiring techs / new service van / new commercial division,"Commercial HVAC firms $1-30M rev, regional, has commercial work; DQ residential-only","Surface: jobs from word-of-mouth & GC calls. Business: wants recurring maintenance contracts not one-off installs. Personal: owner is also the salesperson","Dream: recurring commercial maintenance contracts. Mechanism: outbound to facility/property managers. Guarantee: appointments-or-free. Packaging: retainer + DFY",1:few by location_city + service mix,"Subj {{location_city}} maintenance contracts | Commercial HVAC lives on GC calls and referrals-recurring maintenance contracts with property managers are the steady book nobody's chasing for you",Very Low,~100k+ US
2,Commercial cleaning / janitorial,A-Trades,Facilities cleaning,US/UK metros,Owner / BD lead,Office / facility / property managers,Hiring crews / new territory / rebuilding after lost account,"Commercial janitorial 10-300 staff, B2B contracts; DQ residential maid services","Surface: contract churn, feast/famine. Business: recurring contracts = stable margin. Personal: owner grinding for the next account","Dream: pipeline of recurring cleaning contracts. Mechanism: outbound to office/facility managers. Guarantee: performance floor. Packaging: retainer",1:few by building type (office/medical/industrial),"Subj recurring cleaning contracts | Janitorial is feast or famine because contracts churn-a steady feed of office & facility managers in {{location_city}} never gets systematized",Very Low,~60k+ US
3,Commercial landscaping & grounds,A-Trades,Landscaping / grounds,US Sun Belt + suburban,Owner / Account Manager,HOAs / property managers / commercial campuses,Buying equipment / hiring crews / season ramp,"Commercial landscaping $1-20M, recurring-maintenance model; DQ one-truck residential","Surface: seasonal, referral-led. Business: annual maintenance contracts smooth revenue. Personal: owner needs crews filled year-round","Dream: annual grounds-maintenance contracts. Mechanism: outbound to HOAs/property managers. Guarantee: pilot per region. Packaging: retainer",1:few by property type + location_city,"Subj grounds contracts {{location_city}} | Commercial landscaping lives on annual contracts-HOAs and property managers are exactly who most crews never proactively reach",Very Low,~80k+ US
4,Commercial roofing & restoration,A-Trades,Roofing / restoration,US storm-belt,Owner / Commercial Estimator,Property managers / GCs / facility owners,Storm events / hiring estimators / new commercial crew,"Commercial roofers $2-50M, commercial focus; DQ residential storm-chasers","Surface: bids depend on GC/insurance relationships. Business: idle crews burn margin between big jobs. Personal: owner chasing the next bid","Dream: steady commercial bid opportunities. Mechanism: outbound to property managers & GCs. Guarantee: performance floor. Packaging: retainer + DFY",1:few by location_city + building type,"Subj commercial roof bids | Commercial roofing comes down to a few GC and insurance relationships-when those go quiet, crews sit. A direct line to property managers fixes that",Low,~50k+ US
5,Commercial pest control,A-Trades,Pest control,US metros,Owner / Commercial Manager,Restaurants / property managers / food facilities,Hiring techs / launching commercial division,"Pest-control firms w/ commercial arm, regional; DQ residential-only","Surface: residential is saturated & low-margin. Business: commercial recurring contracts pay better. Personal: owner wants stable B2B base","Dream: recurring commercial accounts. Mechanism: outbound to restaurant groups & facility managers. Guarantee: appointments-or-free. Packaging: retainer",1:few by account type,"Subj commercial pest contracts | Residential pest is a price war-recurring commercial accounts with restaurants and property managers are higher-margin and barely contested by outbound",Very Low,~30k+ US
6,Commercial plumbing & drainage,A-Trades,Plumbing / mechanical,US/UK metros,Owner / Service Manager,Property managers / GCs / facility teams,Hiring techs / commercial division push,"Commercial plumbing $1-25M; DQ residential-only","Surface: reactive call-driven work. Business: recurring facility-maintenance contracts smooth revenue. Personal: owner needs predictable commercial flow","Dream: recurring commercial maintenance accounts. Mechanism: outbound to facility/property managers. Guarantee: performance floor. Packaging: retainer",1:few by location_city,"Subj facility plumbing contracts | Commercial plumbing is mostly reactive call-outs-locking in recurring facility-maintenance contracts is the stable book most shops never pursue",Very Low,~120k+ US
7,Fire & life-safety / sprinkler inspection,A-Trades,Fire protection / inspection,US,Owner / Sales Manager,Property managers / building owners / facility teams,Hiring inspectors / code-cycle / new territory,"Fire & life-safety firms (inspection/sprinkler/alarm), regional; DQ manufacturers","Surface: recurring inspections required by code but acquisition is manual. Business: recurring compliance contracts = annuity. Personal: owner wants multi-year accounts","Dream: recurring code-required inspection contracts. Mechanism: outbound to building owners/property managers. Guarantee: appointments-or-free. Packaging: retainer",1:few by building type + jurisdiction,"Subj inspection contracts {{location_city}} | Fire & life-safety inspections are legally required yearly-yet most firms wait for buildings to call instead of locking the recurring contract first",Very Low,~25k+ US
8,Commercial electrical & low-voltage/cabling,A-Trades,Electrical / low-voltage,US metros,Owner / Commercial Estimator,GCs / builders / office & facility teams,Hiring electricians / data-center & office buildout,"Commercial electrical & structured-cabling $2-40M; DQ residential","Surface: bid flow tied to a few GCs. Business: buildout & retrofit projects are lumpy. Personal: owner needs steadier project pipeline","Dream: steady commercial buildout/retrofit bids. Mechanism: outbound to GCs/developers/facility teams. Guarantee: performance floor. Packaging: retainer",1:few by project type + location_city,"Subj commercial electrical bids | Most commercial electrical shops ride two or three GC relationships-a direct line to developers and facility teams is the bid flow nobody's building for you",Low,~70k+ US
9,Regional accounting & bookkeeping firms,B-ProServices,Accounting / bookkeeping,US/UK secondary metros,Partner / Owner,Local SMBs & startups needing accounting,Hiring / post-tax-season capacity / new advisory service,"Independent accounting firms 5-100 staff; DQ solo / Big-4","Surface: growth via referrals only. Business: wants recurring monthly clients not seasonal returns. Personal: partner carries origination","Dream: steady monthly-retainer SMB clients. Mechanism: outbound to local SMBs w/ growth/hiring signals. Guarantee: pilot. Packaging: retainer",1:few by location_city + client niche,"Subj monthly clients {{location_city}} | Most firms grow on referrals and live off tax season-a steady feed of local SMBs needing monthly bookkeeping smooths the year",Low,~120k+ US
10,Commercial-focused law firms,B-ProServices,Legal (employment/corporate/immigration),US/UK metros,Managing Partner / Practice Lead,Local businesses needing counsel,Hiring associates / new practice area / regulatory change,"Boutique/regional firms w/ business clients; DQ personal-injury/consumer","Surface: BD = referrals & networking. Business: needs recurring business clients on retainer. Personal: partner originations drive comp","Dream: meetings with local business owners needing counsel. Mechanism: outbound tied to triggers (hiring/expansion/regulation). Guarantee: pilot. Packaging: retainer",1:few by practice area + trigger,"Subj business clients {{location_city}} | Most {{service_line}} firms grow on referrals-but local businesses hit triggers constantly and that's exactly when they need counsel and nobody's reaching out",Low,~50k+ US
